FID_1,elect_dist,shape_area,shape_leng,count,AboveAverage
310,64058,4101707.878,28485.91985,311,0
311,64059,2643357.683,7406.984502,284,0
312,64060,1388105.162,6328.700649,119,0
313,64061,3277376.045,13888.57009,246,0
314,64062,2462303.235,9420.045554,353,0
315,64063,1354646.014,5692.37894,271,0
316,64064,382.7318743,128.3740497,0,0
317,64065,635701.9565,4743.128085,0,0
318,64068,3395.382957,283.4224134,0,0
319,64069,1136.875785,144.9504945,0,0
320,64070,1334.629725,190.6761211,0,0
