FID_1,elect_dist,shape_area,shape_leng,count,AboveAverage
0,63077,2709338.109,6529.701874,1,1
1,61008,1317160.693,5745.714932,0,0
2,61007,1869264.373,9683.506416,1,1
3,61001,3783858.353,15865.88769,66,1
4,61002,1859651.774,5874.324971,3,1
5,61003,1842305.811,6651.742167,0,0
6,61004,1730181.022,5462.748463,9,1
7,61005,1794327.427,7610.609257,0,0
8,61006,1358802.971,6969.294281,0,0
9,63078,1222818.356,5024.142535,0,0
10,61009,3594691.332,8885.048049,0,0
11,61010,2863632.26,9406.435855,2,1
12,61011,6419034.82,13772.32751,0,0
13,61012,4136904.331,9059.666271,0,0
14,61013,2182404.565,8111.144349,0,0
15,61014,2650470.584,8646.104502,3,1
16,61015,2266428.957,6025.513958,9,1
17,61021,4246161.701,10557.2779,4,1
18,61016,5841508.212,21595.32101,8,1
19,61017,5187057.094,13323.16561,0,0
20,61018,2381652.606,6445.606997,1,1
21,61019,2583828.443,8871.949244,0,0
22,61020,2521180.042,8520.014185,0,0
23,61022,4712305.665,11546.29727,4,1
24,61023,2215064.758,8475.662598,2,1
25,61024,2758629.409,10066.81538,2,1
26,61025,4319502.754,12508.60564,4,1
27,61026,5534320.226,14872.93921,0,0
28,61033,3121775.144,11699.69486,0,0
29,61027,3883909.14,16281.65206,2,1
30,61028,2145859.082,6072.264486,1,1
31,61029,2272808.736,9244.61017,0,0
32,61030,3471176.117,10629.90027,13,1
33,61031,3068330.45,11033.5214,2,1
34,61032,2344788.869,7128.494418,0,0
35,61064,284429.0374,2582.892121,0,0
36,63053,2794074.547,7808.655818,0,0
37,61034,3292890.216,12538.45957,0,0
38,61035,2792786.513,8723.623192,0,0
39,61036,1549948.48,5357.875232,0,0
40,61037,6170465.875,14027.07696,1,1
41,61038,4224878.411,13251.58718,1,1
42,61039,2409123.814,6460.61559,1,1
43,61040,3615101.834,9397.988303,1,1
44,61041,2951294.727,7259.776447,1,1
45,61042,2986623.089,7405.288761,2,1
46,61043,4058604.718,10960.87479,1,1
47,61044,2299357.002,6971.878703,1,1
48,61045,2397415.321,14405.19242,0,0
49,61046,3575382.913,11634.29218,0,0
50,61047,2670841.167,10582.69186,0,0
51,61048,3206328.34,10797.14633,0,0
52,61049,3662511.056,10969.31057,2,1
53,61050,1438479.077,6974.571242,0,0
54,61051,2165840.712,6577.470441,0,0
55,61052,5383791.002,10976.96987,0,0
56,61053,1108511.976,4139.272704,5,1
57,61054,5068476.607,17289.18496,3,1
58,61055,2415691.593,8152.828221,8,1
59,61072,1722795.438,7702.521055,0,0
60,61056,3418390.455,11341.34123,2,1
61,61057,4709135.924,13636.09572,1,1
62,61058,540038.1659,3983.550221,3,1
63,61059,733658.1643,3761.912408,0,0
64,61060,1653091.535,10175.62411,0,0
65,61061,1418338.573,8439.26934,2,1
66,61062,2338398.216,7098.378471,0,0
67,61063,2075500.6,11914.38049,0,0
68,61065,3872544.359,12588.21282,7,1
69,61066,1333838.208,10114.77929,1,1
70,61067,3884764.234,9394.846569,2,1
71,61068,3218706.285,11206.00328,3,1
72,61069,2585595.872,11018.43404,1,1
73,61070,721333.2939,3426.121628,3,1
74,61071,2879145.539,10019.81363,1,1
75,61073,1757801.331,9791.373562,0,0
76,61074,1377520.336,5211.729978,4,1
77,61075,2471534.853,9131.267944,1,1
78,61076,2797934.312,9740.395005,3,1
79,61077,1375949.263,5365.185629,4,1
80,61078,2153644.88,7119.352549,2,1
81,61079,721999.0464,3480.734318,0,0
82,62012,3430127.26,7678.465162,1,1
83,62018,3465785.889,11948.4679,1,1
84,62001,6507520.087,13477.88201,0,0
85,62002,4085912.462,14968.56054,0,0
86,62013,7388971.266,13908.3121,0,0
87,62003,4400781.332,12558.2008,0,0
88,62004,4249283.627,9289.958901,1,1
89,62005,8649329.294,17651.07197,0,0
90,62014,2180456.552,6181.663509,0,0
91,62019,4769924.347,8879.309269,0,0
92,62006,3989727.424,12518.46175,8,1
93,62007,4746167.949,12108.72968,2,1
94,62008,16292653.27,17758.77741,0,0
95,62009,58789535.54,40107.81178,0,0
96,62015,4581588.474,9772.943319,1,1
97,62016,1954402.935,6984.681489,2,1
98,62010,32089242.81,34969.39651,1,1
99,62011,5695691.796,12209.86273,0,0
100,62017,1893904.153,5757.310583,0,0
101,62020,3984739.595,10620.25514,0,0
102,62021,3314276.442,7776.657518,1,1
103,62022,2486275.212,7607.079494,0,0
104,62023,2814626.882,6975.07679,0,0
105,62024,1322779.315,5562.584512,0,0
106,62025,3870433.575,12820.74046,0,0
107,62026,1635343.825,5669.266299,0,0
108,62027,4984834.556,13518.46769,0,0
109,62028,2993692.141,9659.84951,0,0
110,62052,2595761.059,6849.947864,1,1
111,62029,7116772.539,12013.22947,0,0
112,62030,6467231.01,11688.91715,2,1
113,62031,17219417.41,25725.23866,0,0
114,62032,5234080.736,13440.32431,0,0
115,62053,2148856.858,7305.713948,1,1
116,62033,15328292.24,19855.54173,1,1
117,62034,15134719.14,19966.06105,0,0
118,62035,4335362.661,9332.879527,0,0
119,62054,9594711.636,15552.94357,0,0
120,62036,3910056.667,9495.285739,0,0
121,62037,5989714.828,12792.29886,0,0
122,62038,3055621.727,7720.130802,0,0
123,62039,3537601.393,8378.318806,0,0
124,62040,4164604.946,13887.2753,2,1
125,62041,3897902.359,12291.85818,0,0
126,62042,4549055.044,16852.29836,0,0
127,62043,2484723.213,7931.084339,0,0
128,62044,2516337.835,8983.773454,0,0
129,62045,3370593.135,10618.33755,0,0
130,62046,2231592.339,7100.60481,0,0
131,62047,2735569.844,7784.213447,0,0
132,62048,3307702.099,8869.378035,0,0
